"","iso3c","Country","Region","Continent","Cost_1_GB_USD_month_2019","Cost_1_GB_USD_month_2018","Afford_decile_1_2019","Afford_decile_1_2018","Afford_decile_1_2017","Afford_decile_1_2016","Afford_decile_1_2015","Afford_2019","Afford_2018","Afford_2017","Afford_2016","Afford_2015","Price_data_year_2019","Price_data_year_2018","Price_data_year_2017","Price_data_year_2016","Price_data_year_2015","GNI_WB_capita_2019","GNI_WB_capita_2018","GNI_WB_capita_2017","GNI_WB_capita_2016","GNI_WB_capita_2015","share_bottom_10_2019","share_bottom_10_2018","share_bottom_10_2017","share_bottom_10_2016","share_bottom_10_2015","Decile_1_current_2019","Decile_1_current_2018","Decile_1_current_2017","Decile_1_current_2016","Decile_1_current_2015","surveyyear_2019","surveyyear_2018","surveyyear_2017","surveyyear_2016","surveyyear_2015","A4AI_Income_2019","A4AI_Income_2018","A4AI_Income_month_2019","A4AI_Income_month_2018"
"1","AFG","Afghanistan","Southern Asia","Asia",1.912924166597,1.98221537547,NA,NA,NA,NA,NA,0.041736527271,0.04173085001,NA,NA,NA,22.53772472634,22.9519675055,NA,NA,NA,540,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550.000000002731,569.999999998562,45.833333333561,47.4999999998802
"2","DZA","Algeria","Northern Africa","Africa",6.702796443123,6.72549663081,0.050650854733927,0.0509507320515909,NA,NA,NA,0.019811221014,0.02038029282,NA,NA,NA,78.65054742558,80.7059595672,NA,NA,NA,3970,3960,NA,NA,NA,4,4,NA,NA,NA,1588,1584,NA,NA,NA,"2011","2011",NA,NA,NA,4060.0000000321,3960.00000012365,338.333333336009,330.000000010304
"3","AGO","Angola","Middle Africa","Africa",6.098903279142,13.03883203861,0.184582192559153,0.374948441081524,NA,NA,NA,0.021717163012,0.04698678212,NA,NA,NA,66.2373471866,150.8275706052,NA,NA,NA,3050,3210,NA,NA,NA,1.3,1.3,NA,NA,NA,396.5,417.3,NA,NA,NA,"2018","2018",NA,NA,NA,3369.99999996611,3330.00000007917,280.833333330509,277.500000006598
"4","ARG","Argentina","South America","Americas",6.83922833408,12.14864362107,0.0407096924647619,0.0653680044179177,0.0433333333333333,0.0877777777777778,0.0838888888888889,0.006634659661,0.01117973339,0.0078,0.0158,0.0151,74.3081882032,138.5168967021,102.336,193.076,189.807,11200,12390,13120,12220,12570,1.8,1.8,1.8,1.8,1.8,2016,2230.2,2361.6,2199.6,2262.6,"2018","2018","2017","2016","2016",12370.0000003602,13040.0000042255,1030.83333336335,1086.66666701879
"5","BGD","Bangladesh","Southern Asia","Asia",2.240486849893,2.87710368016,0.0374558960695403,0.0533208404045096,0.0605405405405405,0.0718918918918919,0.0981081081081081,0.015363338399,0.02348656065,0.0224,0.0266,0.0363,29.80487649406,41.1014811375,34.048,36.442,44.286,1940,1750,1520,1370,1220,3.7,3.7,3.7,3.7,3.7,717.8,647.5,562.4,506.9,451.4,"2016","2016","2016","2016","2016",1750.00000003033,1470.00000027335,145.833333335861,122.500000022779
"6","BLZ","Belize","Central America","Americas",17.375621668591,17.11146201016,NA,NA,NA,NA,NA,0.044175309327,0.04677392805,NA,NA,NA,196.58012650515,208.1439798225,NA,NA,NA,4450,4450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4719.99999999212,4389.99999962415,393.333333332677,365.833333302012
"7","BEN","Benin","Western Africa","Africa",4.281616666508,5.2204424366,0.411035199984768,0.52204424366,1.08,1.65,1.66,0.059056781607,0.07830663655,0.108,0.165,0.166,73.82097700875,93.96796386,117.72,183.15,195.88,1250,1200,1090,1110,1180,1,1,1,1,1,125,120,109,111,118,"2015","2015","2015","2015","2015",870.000000000102,799.999999989784,72.5000000000085,66.6666666658153
"8","BOL","Bolivia","South America","Americas",5.790808888617,5.68353008691,0.131236462064974,0.134920595534956,0.2275,0.263636363636364,0.262727272727273,0.020620090998,0.02178989171,0.0273,0.029,0.0289,72.78892122294,73.4319350627,84.357,88.16,85.544,3530,3370,3090,3040,2960,1.5,1.5,1.2,1.1,1.1,529.5,505.5,370.8,334.4,325.6,"2018","2018","2017","2016","2015",3370.00000000698,3129.99999956953,280.833333333915,260.83333329746
"9","BWA","Botswana","Southern Africa","Africa",8.85114630907,8.84477743693,0.0924401703297128,0.0954901747576788,0.146,0.340666666666667,0.382666666666667,0.013705000737,0.01556265825,0.0219,0.0511,0.0574,104.98030564542,115.3192976325,147.387,335.727,392.616,7660,7410,6730,6570,6840,1.5,1.5,1.5,1.5,1.5,1149,1111.5,1009.5,985.5,1026,"2015","2015","2015","2015","2015",7749.99999978767,6819.99999859664,645.833333315639,568.333333216387
"10","BRA","Brazil","South America","Americas",9.826132073658,5.24530899061,0.12914960009189,0.0693212641930837,0.17,0.127272727272727,0.164166666666667,0.012900829856,0.00733609649,0.017,0.014,0.0197,117.78457658528,66.6117561292,147.9,124.88,200.743,9130,9080,8700,8920,10190,1,1,1,1.1,1.2,913,908,870,981.2,1222.8,"2018","2018","2017","2016","2015",9140.00000000434,8580.00000042529,761.666666667028,715.000000035441
