"","iso3c","Country","Region","Continent","Cost_1_GB_USD_month_2018","Cost_1_GB_USD_month_2019","Afford_decile_1_2015","Afford_decile_1_2016","Afford_decile_1_2017","Afford_decile_1_2018","Afford_decile_1_2019","Afford_2015","Afford_2016","Afford_2017","Afford_2018","Afford_2019","Price_data_year_2015","Price_data_year_2016","Price_data_year_2017","Price_data_year_2018","Price_data_year_2019","GNI_WB_capita_2015","GNI_WB_capita_2016","GNI_WB_capita_2017","GNI_WB_capita_2018","GNI_WB_capita_2019","share_bottom_10_2015","share_bottom_10_2016","share_bottom_10_2017","share_bottom_10_2018","share_bottom_10_2019","Decile_1_current_2015","Decile_1_current_2016","Decile_1_current_2017","Decile_1_current_2018","Decile_1_current_2019","surveyyear_2015","surveyyear_2016","surveyyear_2017","surveyyear_2018","surveyyear_2019","A4AI_Income_2018","A4AI_Income_2019","A4AI_Income_month_2018","A4AI_Income_month_2019"
"11","BFA","Burkina Faso","Sub-Saharan Africa","Africa",7.52234909455,4.281666666447,0.429166666666667,0.419444444444444,0.393333333333333,0.329927591866228,0.180661040778354,0.1545,0.151,0.1416,0.14798063793,0.077848484844,108.15,99.66,96.288,112.4652848268,61.50030302676,700,660,680,760,790,3.6,3.6,3.6,3.6,3.6,252,237.6,244.8,273.6,284.4,"2014","2014","2014","2014","2014",609.999999981754,660.000000004162,50.8333333318129,55.0000000003468
"12","BDI","Burundi","Sub-Saharan Africa","Africa",3.21707887661,3.172826319105,NA,NA,NA,0.492410032134184,0.485636681495663,NA,NA,NA,0.13312050524,0.135978270819,NA,NA,NA,37.2737414672,38.07391582932,NA,NA,NA,280,280,NA,NA,NA,2.8,2.8,NA,NA,NA,78.4,78.4,NA,NA,NA,"2013","2013",289.999999997897,279.999999999559,24.1666666664914,23.3333333332966
"13","KHM","Cambodia","East Asia & Pacific","Asia",2,2,NA,NA,NA,NA,NA,0.0336,0.0211,0.0195,0.01951219512,0.017391304348,35.616,24.054,23.985,26.9268292656,25.73913043504,1060,1140,1230,1380,1480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1230.000000123,1379.9999999862,102.50000001025,114.99999999885
"14","CMR","Cameroon","Sub-Saharan Africa","Africa",3.48029495773,3.425293333207,0.721764705882353,0.378235294117647,0.373529411764706,0.170602694006373,0.161190274503859,0.1227,0.0643,0.0635,0.03070848492,0.02854411111,176.688,88.734,85.09,44.2202182848,42.816166665,1440,1380,1340,1440,1500,1.7,1.7,1.7,1.7,1.7,244.8,234.6,227.8,244.8,255,"2014","2014","2014","2014","2014",1360.0000000508,1440.00000000294,113.333333337567,120.000000000245
"15","CPV","Cape Verde","Sub-Saharan Africa","Africa",5.17059859135,5.093961110998,NA,NA,NA,0.0829507795403743,0.0765433675581969,NA,NA,NA,0.02075156625,0.017718125603,NA,NA,NA,70.55532525,64.31679593889,NA,NA,NA,3400,3630,NA,NA,NA,2.2,2.2,NA,NA,NA,748,798.6,NA,NA,NA,"2015","2015",2990.00000041925,3450.00000009177,249.166666701604,287.500000007648
"16","CAF","Central African Republic","Sub-Saharan Africa","Africa",9.19792238829,9.052560952046,NA,NA,NA,1.87712701801837,1.74087710616269,NA,NA,NA,0.28301299656,0.226314023801,NA,NA,NA,138.6763683144,117.68329237652,NA,NA,NA,490,520,NA,NA,NA,1.2,1.2,NA,NA,NA,58.8,62.4,NA,NA,NA,"2008","2008",390.000000003816,480.000000000318,32.500000000318,40.0000000000265
"17","TCD","Chad","Sub-Saharan Africa","Africa",12.18103235206,11.988526666224,NA,NA,NA,1.1942188580451,1.14176444440229,NA,NA,NA,0.23201966385,0.214719880589,NA,NA,NA,157.773371418,150.3039164123,NA,NA,NA,680,700,NA,NA,NA,1.8,1.8,NA,NA,NA,122.4,126,NA,NA,NA,"2011","2011",629.999999996638,670.00000000027,52.4999999997199,55.8333333333558
"18","CHN","China","East Asia & Pacific","Asia",9.82855161289,5.571084999789,NA,0.107037037037037,0.0992592592592593,0.0454079538595057,0.0237851851842843,NA,0.0289,0.0268,0.01357222317,0.007059453009,NA,239.003,234.232,130.5647868954,73.48890582369,7940,8270,8740,9620,10410,2.6,2.7,2.7,2.7,2.7,2064.4,2232.9,2359.8,2597.4,2810.7,"2015","2016","2016","2016","2016",8690.00000054376,9470.00000031702,724.16666671198,789.166666693085
"19","COL","Colombia","Latin America & Caribbean","Americas",12.51828720878,9.263243334473,0.137692307692308,0.155384615384615,0.207857142857143,0.171405119243907,0.121965020862054,0.0179,0.0202,0.0291,0.0257666289,0.017957822296,131.207,130.492,172.563,161.299096914,116.90542314696,7330,6460,5930,6260,6510,1.3,1.3,1.4,1.4,1.4,952.9,839.8,830.2,876.4,911.4,"2015","2016","2017","2018","2018",5830.00000071255,6190.00000007996,485.833333392712,515.833333339997
"20","COM","Comoros","Sub-Saharan Africa","Africa",6.07847719673,5.990263125092,NA,NA,NA,0.330352021561413,0.316387136888662,NA,NA,NA,0.09597595574,0.054456937501,NA,NA,NA,132.4468189212,77.32885125142,NA,NA,NA,1380,1420,NA,NA,NA,1.6,1.6,NA,NA,NA,220.8,227.2,NA,NA,NA,"2014","2014",759.999999982912,1319.99999999603,63.3333333319094,109.999999999669
