Region,Subregion,Country_Name,ISO3,Cost_100_MB_USD,Cost_100_MB_Share_GNICM,Cost_500_MB_USD,Cost_500_MB_Share_GNICM,Cost_1_GB_USD,Cost_1_GB_Share_GNICM,Cost_2_GB_USD,Cost_2_GB_Share_GNICM,Cost_5_GB_USD,Cost_5_GB_Share_GNICM,Cost_10_GB_USD,Cost_10_GB_Share_GNICM,GBs_per_2%_GNICM
Asia,Southern Asia,Afghanistan,AFG,1.912924166597,0.041736527271,1.912924166597,0.041736527271,1.912924166597,0.041736527271,2.550565555462,0.055648703028,6.376413888656,0.139121757571,12.740074949534,0.277965271626,0.479196552939
Africa,Northern Africa,Algeria,DZA,6.702796443123,0.019811221014,6.702796443123,0.019811221014,6.702796443123,0.019811221014,12.567743330855,0.037146039402,16.756991107806,0.049528052535,16.756991107806,0.049528052535,1.009528892021
Africa,Middle Africa,Angola,AGO,2.134616147700,0.007601007054,6.098903279142,0.021717163012,6.098903279142,0.021717163012,9.148354918713,0.032575744518,15.247258197854,0.054292907529,30.494516395709,0.108585815059,0.920930601716
Americas,Southern America,Argentina,ARG,6.839228334080,0.006634659661,6.839228334080,0.006634659661,6.839228334080,0.006634659661,6.839228334080,0.006634659661,8.435048278699,0.008182746915,15.046302334976,0.014596251255,3.014472636326
Asia,Southern Asia,Bangladesh,BGD,0.592721388861,0.004064375238,1.892474720147,0.012976969510,2.240486849893,0.015363338399,3.425929627614,0.023492088875,4.729916683107,0.032433714398,7.693523627409,0.052755590588,1.301800395216
Americas,Central America,Belize,BLZ,17.375621668591,0.044175309327,17.375621668591,0.044175309327,17.375621668591,0.044175309327,17.375621668591,0.044175309327,17.375621668591,0.044175309327,34.751243337183,0.088350618654,0.452741594903
Africa,Western Africa,Benin,BEN,4.281616666508,0.059056781607,4.281616666508,0.059056781607,4.281616666508,0.059056781607,6.850586666413,0.094490850571,10.275879999620,0.141736275857,20.551759999240,0.283472551714,0.338657127188
Americas,Southern America,Bolivia,BOL,1.302931999939,0.004639520475,2.895404444308,0.010310045499,5.790808888617,0.020620090998,7.238511110771,0.025775113748,12.160698666096,0.043302191096,24.321397332191,0.086604382192,0.969927824368
Africa,Southern Africa,Botswana,BWA,5.590197668886,0.008655789939,8.851146309070,0.013705000737,8.851146309070,0.013705000737,13.509644366476,0.020918159019,32.010536651600,0.049564701912,62.290774024735,0.096450230748,1.459321337105
Americas,Southern America,Brazil,BRA,9.826132073658,0.012900829856,9.826132073658,0.012900829856,9.826132073658,0.012900829856,9.826132073658,0.012900829856,13.466938073363,0.017680881497,16.384173502128,0.021510949893,1.550287867000
Africa,Western Africa,Burkina Faso,BFA,2.568999999868,0.046709090907,2.568999999868,0.046709090907,4.281666666447,0.077848484844,6.850666666315,0.124557575751,13.701333332631,0.249115151502,25.689999998683,0.467090909067,0.256909303244
Africa,Eastern Africa,Burundi,BDI,0.545694944318,0.023386926185,2.182779777271,0.093547704740,3.172826319105,0.135978270819,3.508038927758,0.150344525475,8.419293426618,0.360826861141,16.370848329535,0.701607785552,0.147082323371
Asia,South-Eastern Asia,Cambodia,KHM,1.000000000000,0.008695652174,1.000000000000,0.008695652174,2.000000000000,0.017391304348,2.500000000000,0.021739130435,4.500000000000,0.039130434783,8.500000000000,0.073913043478,1.150000000000
Africa,Middle Africa,Cameroon,CMR,1.321184571380,0.011009871428,2.911499333226,0.024262494444,3.425293333207,0.028544111110,5.137939999810,0.042816166665,8.563233333017,0.071360277775,17.126466666034,0.142720555550,0.700669918320
Africa,Western Africa,Cape Verde,CPV,5.093961110998,0.017718125603,5.093961110998,0.017718125603,5.093961110998,0.017718125603,5.093961110998,0.017718125603,5.093961110998,0.017718125603,10.187922221996,0.035436251207,1.128787573110
Africa,Middle Africa,Central African Republic,CAF,5.137939999810,0.128448499995,7.339914285443,0.183497857136,9.052560952046,0.226314023801,13.578841428070,0.339471035702,25.689699999050,0.642242499976,42.816166665084,1.070404166627,0.088372782491
Africa,Middle Africa,Chad,TCD,5.137939999810,0.092022805967,10.275879999620,0.184045611933,11.988526666224,0.214719880589,17.126466666034,0.306742686556,20.551759999240,0.368091223867,34.252933332067,0.613485373112,0.093144612158
Asia,Eastern Asia,China,CHN,5.571084999789,0.007059453009,5.571084999789,0.007059453009,5.571084999789,0.007059453009,8.503234999678,0.010774954593,12.901459999512,0.016348206969,20.231834999234,0.025636960928,2.833080689656
Americas,Southern America,Colombia,COL,9.263243334473,0.017957822296,9.263243334473,0.017957822296,9.263243334473,0.017957822296,12.350991112631,0.023943763062,28.407279559051,0.055070655042,56.814559118101,0.110141310084,1.113720788082
Africa,Eastern Africa,Comoros,COM,5.990263125092,0.054456937501,5.990263125092,0.054456937501,5.990263125092,0.054456937501,9.128020000140,0.082982000001,17.115037500262,0.155591250002,22.820050000350,0.207455000003,0.367262665105
Africa,Middle Africa,Congo Brazzaville,COG,3.669957142721,0.026853344947,4.526280476023,0.033119125434,8.734497999677,0.063910960973,17.126466666034,0.125315609751,30.827639998861,0.225568097553,42.816166665084,0.313289024379,0.312935366570
Americas,Central America,Costa Rica,CRI,6.751797777985,0.007039233131,6.751797777985,0.007039233131,6.751797777985,0.007039233131,6.751797777985,0.007039233131,20.255393333955,0.021117699392,33.758988889925,0.035196165654,2.841218585646
Africa,Western Africa,Cote d'Ivoire,CIV,3.425333333158,0.025530434781,3.425333333158,0.025530434781,6.850666666315,0.051060869563,8.563333332894,0.063826086953,17.126666665789,0.127652173906,25.689999998683,0.191478260860,0.391689373317
